Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
R-5,5,Root,40,       +M +E,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-6,6,Root,40,       +M +E,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-7,7,Root,40,       +M +E,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-8,8,Root,40,       +M +E,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-9,9,Root,40,       +M +E,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-10,10,Root,40,       +M +E,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-11,11,Root,40,       +M +E,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-12,12,Root,40,       +M +E,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-13,14,Root,50,       +M +E,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-14,15,Root,50,       +M +E,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-15,16,Root,50,       +M +E,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-16,17,Root,50,       +M +E,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-17,18,Root,50,       +M +E,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-18,19,Root,50,       +M +E,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-19,20,Root,50,       +M +E,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-20,21,Root,50,       +M +E,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-21,22,Root,50,       +M +E,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-22,23,Root,50,       +M +E,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-23,24,Root,50,       +M +E,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-24,25,Root,50,       +M +E,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-25,27,Root,60,       +M +E,7.34,60,       +M +E,7.34,7.34,7.11,5.74,4.70,3.21,2.17,4.78,5.17,5.78,4.62,3.82,2.93,,,,,,,,,,,,,,
R-26,28,Root,60,       +M +E,7.11,60,       +M +E,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,
R-27,29,Root,60,       +M +E,5.74,60,       +M +E,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,
R-28,30,Root,60,       +M +E,4.70,60,       +M +E,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,
R-29,31,Root,60,       +M +E,3.21,60,       +M +E,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
R-30,32,Root,60,       +M +E,2.17,60,       +M +E,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,
R-31,33,Root,60,       +M +E,4.78,60,       +M +E,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,
R-32,34,Root,60,       +M +E,5.17,60,       +M +E,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,
R-33,35,Root,60,       +M +E,5.78,60,       +M +E,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,
R-34,36,Root,60,       +M +E,4.62,60,       +M +E,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,
R-35,37,Root,60,       +M +E,3.82,60,       +M +E,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
R-36,38,Root,60,       +M +E,2.93,60,       +M +E,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,
R-37,1,Root,40,       -M +E,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-38,2,Root,40,       -M +E,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-39,3,Root,40,       -M +E,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-40,4,Root,40,       -M +E,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-41,5,Root,40,       -M +E,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-42,6,Root,40,       -M +E,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-43,7,Root,40,       -M +E,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-44,8,Root,40,       -M +E,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-45,9,Root,40,       -M +E,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-46,10,Root,40,       -M +E,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-47,11,Root,40,       -M +E,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-48,12,Root,40,       -M +E,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-49,14,Root,50,       -M +E,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-50,15,Root,50,       -M +E,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-51,16,Root,50,       -M +E,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-52,17,Root,50,       -M +E,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-53,18,Root,50,       -M +E,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-54,19,Root,50,       -M +E,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-55,20,Root,50,       -M +E,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-56,21,Root,50,       -M +E,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-57,22,Root,50,       -M +E,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-58,23,Root,50,       -M +E,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-59,24,Root,50,       -M +E,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-60,25,Root,50,       -M +E,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-61,27,Root,60,       -M +E,10.06,60,       -M +E,10.06,10.06,8.34,9.28,7.34,6.72,7.25,6.76,3.63,4.64,4.33,3.79,5.12,,,,,,,,,,,,,,
R-62,28,Root,60,       -M +E,8.34,60,       -M +E,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,
R-63,29,Root,60,       -M +E,9.28,60,       -M +E,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,
R-64,30,Root,60,       -M +E,7.34,60,       -M +E,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,
R-65,31,Root,60,       -M +E,6.72,60,       -M +E,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,
