Sample Name,Sample Type,Component Name,IS Name,Actual Conc (ng/mL),Area,IS Area,Area Ratio,Calculated Conc (ng/mL),weight (mg),content (ng/mg)
S-42,Unknown,ergo,ergo-d9,N/A,5.35E+04,5.90E+04,9.07E-01,11.99,28.5,0.84
S-43,Unknown,ergo,ergo-d9,N/A,4.45E+04,4.37E+04,1.02E+00,13.50,28.1,0.96
S-44,Unknown,ergo,ergo-d9,N/A,6.99E+04,5.53E+04,1.27E+00,16.79,28.4,1.18
S-45,Unknown,ergo,ergo-d9,N/A,8.24E+04,4.29E+04,1.92E+00,25.60,25.9,1.98
S-46,Unknown,ergo,ergo-d9,N/A,1.17E+05,5.12E+04,2.28E+00,30.33,26.9,2.26
S-47,Unknown,ergo,ergo-d9,N/A,1.16E+05,4.21E+04,2.75E+00,36.73,28.3,2.60
S-48,Unknown,ergo,ergo-d9,N/A,1.12E+05,3.84E+04,2.93E+00,39.07,28.2,2.77
S-49,Unknown,ergo,ergo-d9,N/A,1.20E+05,9.43E+04,1.27E+00,16.84,26.7,1.26
S-50,Unknown,ergo,ergo-d9,N/A,1.50E+05,7.84E+04,1.91E+00,25.41,28.8,1.76
S-51,Unknown,ergo,ergo-d9,N/A,1.67E+05,1.43E+05,1.16E+00,15.44,28.5,1.08
S-52,Unknown,ergo,ergo-d9,N/A,1.64E+05,1.28E+05,1.28E+00,16.96,29.0,1.17
S-53,Unknown,ergo,ergo-d9,N/A,1.76E+05,1.23E+05,1.43E+00,19.05,26.3,1.45
S-54,Unknown,ergo,ergo-d9,N/A,1.24E+05,1.29E+05,9.63E-01,12.75,27.5,0.93
S-55,Unknown,ergo,ergo-d9,N/A,1.47E+05,1.11E+05,1.32E+00,17.52,28.1,1.25
S-56,Unknown,ergo,ergo-d9,N/A,2.53E+05,9.39E+04,2.69E+00,35.93,28.8,2.50
S-57,Unknown,ergo,ergo-d9,N/A,1.74E+05,7.37E+04,2.36E+00,31.53,28.6,2.20
S-58,Unknown,ergo,ergo-d9,N/A,1.32E+05,1.17E+05,1.13E+00,14.92,26.9,1.11
S-59,Unknown,ergo,ergo-d9,N/A,1.56E+05,1.32E+05,1.18E+00,15.63,29.3,1.07
S-60,Unknown,ergo,ergo-d9,N/A,1.34E+05,1.22E+05,1.10E+00,14.58,25.5,1.14
S-61,Unknown,ergo,ergo-d9,N/A,1.26E+05,3.65E+04,3.45E+00,46.10,26.2,3.52
S-62,Unknown,ergo,ergo-d9,N/A,2.45E+05,6.39E+04,3.84E+00,51.33,26.8,3.83
S-63,Unknown,ergo,ergo-d9,N/A,1.49E+05,4.26E+04,3.51E+00,46.84,28.2,3.32
S-64,Unknown,ergo,ergo-d9,N/A,1.64E+05,7.42E+04,2.21E+00,29.44,25.8,2.28
S-65,Unknown,ergo,ergo-d9,N/A,1.70E+05,7.93E+04,2.14E+00,28.55,26.7,2.14
S-66,Unknown,ergo,ergo-d9,N/A,1.23E+05,6.99E+04,1.76E+00,23.37,26.8,1.74
S-67,Unknown,ergo,ergo-d9,N/A,1.06E+05,9.52E+04,1.12E+00,14.81,25.9,1.14
S-68,Unknown,ergo,ergo-d9,N/A,9.23E+04,7.00E+04,1.32E+00,17.51,27.9,1.26
S-69,Unknown,ergo,ergo-d9,N/A,1.07E+05,5.32E+04,2.00E+00,26.67,28.1,1.90
S-70,Unknown,ergo,ergo-d9,N/A,2.72E+05,6.88E+04,3.95E+00,52.85,28.4,3.72
S-71,Unknown,ergo,ergo-d9,N/A,1.86E+05,7.23E+04,2.58E+00,34.37,28.1,2.45
S-72,Unknown,ergo,ergo-d9,N/A,1.79E+05,1.02E+05,1.75E+00,23.27,25.6,1.82
S-73,Unknown,ergo,ergo-d9,N/A,1.65E+05,1.38E+05,1.19E+00,15.81,27.8,1.14
S-74,Unknown,ergo,ergo-d9,N/A,1.54E+05,9.67E+04,1.59E+00,21.16,27.4,1.54
S-75,Unknown,ergo,ergo-d9,N/A,1.43E+05,7.93E+04,1.81E+00,24.04,28.2,1.70
S-76,Unknown,ergo,ergo-d9,N/A,1.49E+05,8.86E+04,1.69E+00,22.44,28.0,1.60
S-77,Unknown,ergo,ergo-d9,N/A,1.39E+05,9.06E+04,1.54E+00,20.46,28.5,1.44
S-78,Unknown,ergo,ergo-d9,N/A,1.53E+05,1.02E+05,1.50E+00,19.88,27.4,1.45
S-79,Unknown,ergo,ergo-d9,N/A,1.49E+05,9.01E+04,1.66E+00,22.06,27.2,1.62
S-80,Unknown,ergo,ergo-d9,N/A,1.44E+05,1.11E+05,1.30E+00,17.23,28.7,1.20
S-81,Unknown,ergo,ergo-d9,N/A,1.47E+05,1.15E+05,1.29E+00,17.08,27.5,1.24
S-82,Unknown,ergo,ergo-d9,N/A,1.51E+05,8.92E+04,1.70E+00,22.56,27.4,1.65
S-83,Unknown,ergo,ergo-d9,N/A,1.45E+05,1.24E+05,1.17E+00,15.52,28.4,1.09
S-84,Unknown,ergo,ergo-d9,N/A,1.25E+05,9.60E+04,1.30E+00,17.28,26.4,1.31
S-85,Unknown,ergo,ergo-d9,N/A,1.34E+05,8.30E+04,1.61E+00,21.41,28.0,1.53
S-86,Unknown,ergo,ergo-d9,N/A,1.47E+05,7.30E+04,2.01E+00,26.81,26.8,2.00
S-87,Unknown,ergo,ergo-d9,N/A,1.47E+05,6.22E+04,2.37E+00,31.56,26.9,2.35
S-88,Unknown,ergo,ergo-d9,N/A,1.10E+05,5.30E+04,2.08E+00,27.65,27.0,2.05
S-89,Unknown,ergo,ergo-d9,N/A,9.31E+04,9.92E+04,9.39E-01,12.41,25.9,0.96
S-90,Unknown,ergo,ergo-d9,N/A,8.65E+04,1.03E+05,8.42E-01,11.12,27.3,0.81
S-91,Unknown,ergo,ergo-d9,N/A,1.10E+05,1.23E+05,8.95E-01,11.82,27.0,0.88
S-92,Unknown,ergo,ergo-d9,N/A,1.17E+05,9.83E+04,1.19E+00,15.80,26.6,1.19
S-93,Unknown,ergo,ergo-d9,N/A,1.32E+05,9.30E+04,1.42E+00,18.92,26.9,1.41
S-94,Unknown,ergo,ergo-d9,N/A,1.01E+05,9.33E+04,1.08E+00,14.34,28.7,1.00
S-95,Unknown,ergo,ergo-d9,N/A,9.96E+04,1.11E+05,9.00E-01,11.90,26.4,0.90
S-96,Unknown,ergo,ergo-d9,N/A,1.11E+05,1.62E+05,6.84E-01,9.01,25.2,0.71
S-97,Unknown,ergo,ergo-d9,N/A,2.56E+05,3.46E+05,7.38E-01,9.73,24.7,0.79
S-98,Unknown,ergo,ergo-d9,N/A,1.71E+05,2.60E+05,6.57E-01,8.64,24.8,0.70
S-99,Unknown,ergo,ergo-d9,N/A,2.01E+05,2.64E+05,7.63E-01,10.06,25.5,0.79
S-100,Unknown,ergo,ergo-d9,N/A,1.62E+05,2.98E+05,5.43E-01,7.11,24.4,0.58
S-101,Unknown,ergo,ergo-d9,N/A,1.65E+05,2.82E+05,5.84E-01,7.66,25.6,0.60
S-102,Unknown,ergo,ergo-d9,N/A,1.31E+05,2.70E+05,4.86E-01,6.34,25.6,0.50
S-103,Unknown,ergo,ergo-d9,N/A,1.26E+05,2.21E+05,5.70E-01,7.47,27.5,0.54
S-104,Unknown,ergo,ergo-d9,N/A,1.17E+05,2.73E+05,4.27E-01,5.56,25.0,0.44
S-105,Unknown,ergo,ergo-d9,N/A,1.43E+05,2.63E+05,5.43E-01,7.11,27.9,0.51
S-106,Unknown,ergo,ergo-d9,N/A,2.00E+05,2.35E+05,8.50E-01,11.22,25.6,0.88
S-107,Unknown,ergo,ergo-d9,N/A,1.44E+05,2.40E+05,6.01E-01,7.88,25.4,0.62
S-108,Unknown,ergo,ergo-d9,N/A,1.12E+05,1.40E+05,7.96E-01,10.51,25.8,0.81
S-109,Unknown,ergo,ergo-d9,N/A,1.24E+05,1.68E+05,7.39E-01,9.73,25.7,0.76
S-110,Unknown,ergo,ergo-d9,N/A,1.23E+05,2.19E+05,5.60E-01,7.34,23.4,0.63
S-111,Unknown,ergo,ergo-d9,N/A,1.37E+05,1.87E+05,7.31E-01,9.63,24.4,0.79
S-112,Unknown,ergo,ergo-d9,N/A,1.30E+05,1.92E+05,6.79E-01,8.93,27.0,0.66
S-113,Unknown,ergo,ergo-d9,N/A,1.11E+05,2.23E+05,4.98E-01,6.51,22.9,0.57
S-114,Unknown,ergo,ergo-d9,N/A,1.30E+05,2.19E+05,5.94E-01,7.80,26.7,0.58
S-115,Unknown,ergo,ergo-d9,N/A,1.26E+05,2.24E+05,5.63E-01,7.37,26.7,0.55
S-116,Unknown,ergo,ergo-d9,N/A,1.20E+05,2.84E+05,4.23E-01,5.50,24.7,0.45
S-117,Unknown,ergo,ergo-d9,N/A,1.05E+05,2.58E+05,4.06E-01,5.27,22.7,0.46
S-118,Unknown,ergo,ergo-d9,N/A,1.25E+05,2.31E+05,5.43E-01,7.11,25.1,0.57
S-119,Unknown,ergo,ergo-d9,N/A,1.31E+05,2.09E+05,6.29E-01,8.26,26.0,0.64
S-120,Unknown,ergo,ergo-d9,N/A,2.64E+05,3.57E+05,7.39E-01,9.73,27.9,0.70
S-121,Unknown,ergo,ergo-d9,N/A,1.94E+05,3.78E+05,5.12E-01,6.69,27.1,0.49
S-122,Unknown,ergo,ergo-d9,N/A,1.83E+05,3.40E+05,5.39E-01,7.06,26.9,0.52
S-123,Unknown,ergo,ergo-d9,N/A,2.11E+06,3.42E+05,6.16E+00,82.44,26.3,6.27
S-124,Unknown,ergo,ergo-d9,N/A,9.02E+05,3.73E+05,2.42E+00,32.21,25.7,2.51
S-125,Unknown,ergo,ergo-d9,N/A,4.24E+05,3.40E+05,1.25E+00,16.54,25.6,1.29
S-126,Unknown,ergo,ergo-d9,N/A,1.85E+05,2.98E+05,6.23E-01,8.18,25.6,0.64
S-127,Unknown,ergo,ergo-d9,N/A,2.82E+05,2.70E+05,1.05E+00,13.83,25.9,1.07
S-128,Unknown,ergo,ergo-d9,N/A,1.40E+05,2.39E+05,5.86E-01,7.69,26.3,0.58
S-129,Unknown,ergo,ergo-d9,N/A,1.46E+05,2.73E+05,5.34E-01,6.99,24.8,0.56
S-130,Unknown,ergo,ergo-d9,N/A,1.24E+05,2.61E+05,4.78E-01,6.23,25.8,0.48
S-131,Unknown,ergo,ergo-d9,N/A,1.39E+05,2.28E+05,6.11E-01,8.01,27.5,0.58
S-133,Unknown,ergo,ergo-d9,N/A,1.67E+05,2.13E+05,7.85E-01,10.35,27.5,0.75
S-134,Unknown,ergo,ergo-d9,N/A,1.21E+05,2.20E+05,5.48E-01,7.18,27.3,0.53
S-135,Unknown,ergo,ergo-d9,N/A,1.35E+05,2.01E+05,6.70E-01,8.81,26.2,0.67
S-136,Unknown,ergo,ergo-d9,N/A,2.48E+05,2.31E+05,1.07E+00,14.23,27.1,1.05
S-137,Unknown,ergo,ergo-d9,N/A,1.47E+05,2.11E+05,6.96E-01,9.16,26.8,0.68
S-138,Unknown,ergo,ergo-d9,N/A,1.22E+05,1.53E+05,7.99E-01,10.55,27.1,0.78
S-139,Unknown,ergo,ergo-d9,N/A,1.28E+05,1.64E+05,7.79E-01,10.28,26.3,0.78
S-140,Unknown,ergo,ergo-d9,N/A,3.23E+05,2.77E+05,1.17E+00,15.48,26.9,1.15
S-141,Unknown,ergo,ergo-d9,N/A,1.25E+05,2.06E+05,6.08E-01,7.98,27.0,0.59
S-142,Unknown,ergo,ergo-d9,N/A,1.09E+05,1.68E+05,6.50E-01,8.54,27.3,0.63
S-143,Unknown,ergo,ergo-d9,N/A,1.26E+05,2.11E+05,5.97E-01,7.83,27.1,0.58
S-144,Unknown,ergo,ergo-d9,N/A,1.43E+05,1.89E+05,7.59E-01,10.01,27.6,0.73
ergo std-1,Standard,ergo,ergo-d9,1,3.27E+04,9.63E+05,3.40E-02,0.28,,
ergo std-2,Standard,ergo,ergo-d9,2.5,1.16E+05,9.93E+05,1.16E-01,1.39,,
ergo std-3,Standard,ergo,ergo-d9,5,2.29E+05,7.67E+05,2.98E-01,3.82,,
ergo std-4,Standard,ergo,ergo-d9,10,5.69E+05,8.29E+05,6.86E-01,9.03,,
ergo std-5,Standard,ergo,ergo-d9,25,1.50E+06,8.57E+05,1.75E+00,23.27,,
ergo std-6,Standard,ergo,ergo-d9,50,2.83E+06,8.21E+05,3.44E+00,45.99,,
ergo std-7,Standard,ergo,ergo-d9,100,6.51E+06,8.86E+05,7.34E+00,98.29,,
ergo std-8,Standard,ergo,ergo-d9,250,8.44E+06,5.01E+05,1.68E+01,225.40,,
ergo std-9,Standard,ergo,ergo-d9,500,1.79E+07,4.74E+05,3.78E+01,507.10,,
ergo std-10,Standard,ergo,ergo-d9,1000,2.25E+07,3.12E+05,7.22E+01,968.20,,
,,,,,,,,,,
synthetic soil (blank),Unknown,ergo,ergo-d9,N/A,1.16E+06,7.77E+05,1.50E+00,19.90,22.21,1.79
synthetic soil (blank repeat),Unknown,ergo,ergo-d9,N/A,9.92E+05,7.04E+05,1.41E+00,18.73,21.00,1.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,ergo-d9,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,peak not great examples  ergo,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,ergo-d9,,,,,,,
